"Welcome! This is a list of the sources of instruments used in game music. Message me on Discord or comment if you have any criticism/suggestions, or request access if you want to edit the list.",,,,,,,,
"The sources on this page were gathered by G-Boy/NintendoGurkan, Hexagon12/GDhex12, Mathew Valente/TSSF, SynaMax/Max Petrosky, Elite, Chillius, midiman, ephemeralmu, Benjamin, Xane123, MtH, starerik, Blue Falcon, felineki, baggagelizard, punk7890/punk7890-2, Can of Nothing/0minus0, the editors of DEAD VGM Sound Sources, BlueTronic/Jammin' Sam Miller, peronmls/Miles, bocaj517, Nisto, crissxcr0ss, Python Blue, Enclave123, F0nkyNinja, koolaid, Skull/Adel Almas, Vera, Super Spindash, witapepsi, Ghignarda, Spinny, CM30, nford4947, KeiTaRo, drdevilfx, AceKombat, GBP/GarageBandPoke, the editors of The UNDERTALE Music Sample List, gameonion, rebooter23, thisisausername/recordreader, michael01011/michael020022, the editors of NEWER VGM Sound Sources, dutch menneer, XaikuTheMaverickHunter, Gazpacho/calcobrena, PokemonMusic, OzoneOne, Mr. Miles/dumperghost, DatExpandingFuto, amphobius, Patty Rack/PattehRose, ScrewStache, Jack L, Nico_, Sir Ulrich Von Fappenburger™/Linus Olsson, bun, the editor(s) of Patteh's Spreadsheet of Snuff, !bruh!/toastedfoxx, Nuclear/NUKELEDGE, Pinci, AHammockdream, Remi, Waf (Kurzweil K2500)/Waffles, Nesufire, Collision Chaos Radio, d-soup, Aqua (MIDI), Irikachana, WhiteVII, Xerxes, the editors of Pokémon Sound Sources (Detailed), OrangeExecutions, kabulent, Shushy Bushy, codeman38, daypeecone, Mudstep and Milon. The first six listed are the ones who have added findings to and edited this sheet.",,,,,,,,
"Rules: Please give credit if you repost a finding from this sheet. Add the instruments in the games' chronological order. Write the first or the oldest console that the game was released on only. No SFX. If a sample overlaps between multiple sources, write the source that the composers are confirmed to have, and write the oldest source that the sample appears in if the composers aren't confirmed to own any of them. If a sample overlaps between multiple sources that the composers are confirmed to have, and one isn't more likely than the other, write the oldest one.",,,,,,,,
Sample,No.,Source,Date,Game,Date,Console,Music,Composer(s)
SE32 Preset Mallets - 07S Vibraphone,None,VI VSL Special Edition Volume 1,2007,Super Smash Bros. for Wii U,2014,Wii U,N's Castle Medley,Shota Kageyama
SE33 Preset Percussion - 15S Tubular Bells,None,VI VSL Special Edition Volume 1,2007,Super Smash Bros. for Wii U,2014,Wii U,N's Castle Medley,Shota Kageyama
N/A (French Oboe),N/A,N/A (VSL Product),N/A,Super Smash Bros. for Wii U,2014,Wii U,Saria's Song / Middle Boss Battle,Michiru Yamane
Partition B - VOLUME 003 - 3B FTL,None,ProSamples Vol 19 Pop Brass,2001,Super Smash Bros. for Wii U,2014,Wii U,Turbo Jet,Asuka Ito
4 Trumpets - 5 Keysw - 4TP KS Master,None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,"Trophy Rush, Super Mario Bros. Medley","Katsuro Tajima, Koji Kondo, Nintendo"
4 Trumpets - 5 Keysw - 4TP KS Master (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Trophy Rush,Katsuro Tajima
6 French Horns - 5 Keysw - 6FH KS Master,None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Credits (Super Smash Bros.): Ver. 2,Ryo Nagamatsu
CymGong - 28 Gong,None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Credits (Super Smash Bros.): Ver. 2,Ryo Nagamatsu
Metals - Glock,None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Green Greens Ver. 2,Masashi Hamauzu
Metals - Orch chimes,None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,"Credits (Super Smash Bros.): Ver. 2, Magicant / Eight Melodies (Mother)",Ryo Nagamatsu & Yoko Shimomura
Wood - Marimba (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Outdoors at 7 p.m. (Sunny) / Main Street - Animal Crossing: New Lead,Manaka Kataoka
Wood - Xylophone,None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,"Green Greens Ver. 2, Super Mario Bros.: The Lost Levels Medley, Credits (Super Smash Bros.): Ver. 2","Masashi Hamauzu, Katsuro Tajima, Ryo Nagamatsu"
18 Violins - 5 Keysw - 18V KS Master (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Trophy Rush,Katsuro Tajima
18 Violins - 5 Keysw - 18V KS Master (Microphones: Stage),None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,"Trophy Rush, Try, Try Again",Katsuro Tajima & Yoko Shimomura
Harp - 3 - Effects - Harp Gliss WT Up+Dn (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Master Core,LindaAI-CUE
Solo Violin - 5 Keysw - SVL KS Master,None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,"Classic: Results Screen, Plaza / Title (Animal Crossing: Let's Go to the City!/City Folk / Animal Crossing: Wild World), Classic: Fail, Wii Sports Resort Ver. 2","Kumi Tanioka, Rio Hamamoto, Kazumi Totaka, Nintendo"
Solo Flute - 5 Keysw - SFL KS Master (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Credits (Super Smash Bros.): Ver. 2,Ryo Nagamatsu
Solo Oboe - 5 Keysw - SOB KS Master (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Battle! (Reshiram/Zekrom),Atsuko Asahi
Solo Piccolo Flute - 5 Keysw - PFL KS Master (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Super Smash Bros. for Wii U,2014,Wii U,Credits (Super Smash Bros.): Ver. 2,Ryo Nagamatsu
Drums - MOR Black Elements,None,EastWest Ministry of Rock 1,2007,Super Smash Bros. for Wii U,2014,Wii U,Ballad of the Goddess / Ghirahim's Theme,Ryo Nagamatsu
GM Bank - 001-8 PIANO - 7-Harpsichord,7,EastWest Goliath,2008,Super Smash Bros. for Wii U,2014,Wii U,Wii Sports Resort Ver. 2,Kazumi Totaka & Nintendo
GM Bank - 017-24 ORGAN - 24-Tango Accordian,24,EastWest Goliath,2008,Super Smash Bros. for Wii U,2014,Wii U,Route 10,Yoko Shimomura
GM Bank - 033-40 BASS - 37-SLAP BASS 1,37,EastWest Goliath,2008,Super Smash Bros. for Wii U,2014,Wii U,Wii Sports Resort,Kazumi Totaka & Nintendo
Excelsior Accordian - Excel Hi Musette Master,None,EastWest/Quantum Leap Gypsy,2008,Super Smash Bros. for Wii U,2014,Wii U,Battle! (Champion) / Champion Cynthia,Manaka Kataoka & Nintendo
6 French Horns - 7 Keyswitch - 6FH KS Effects C0-A0,None,EastWest Hollywood Brass,2011,Super Smash Bros. for Wii U,2014,Wii U,Menu,Junichi Nakatsuru & BANDAI NAMCO Studios Inc.
6 French Horns - 7 Keyswitch - 6FH KS Sus_Short C0-G#0,None,EastWest Hollywood Brass,2011,Super Smash Bros. for Wii U,2014,Wii U,Menu,Junichi Nakatsuru & BANDAI NAMCO Studios Inc.
Mallets - Marimba 2 XXL,None,Steinberg Hypersonic 2,2006,Super Smash Bros. for Wii U,2014,Wii U,"Try, Try Again",Yoko Shimomura
Hits - The End,None,Steinberg Hypersonic 2,2006,Super Smash Bros. for Wii U,2014,Wii U,"Try, Try Again",Yoko Shimomura
Chromatic Perc - Other - [GM 115] Steel Drums,None,Steinberg HALion Sonic SE,2011,Super Smash Bros. for Wii U,2014,Wii U,Wii Shop Channel,Hirokazu Koshio (ZUNTATA) & TAITO CORPORATION
Strings - Section - [GM 049] String Ensemble 1,None,Steinberg HALion Sonic SE,2011,Super Smash Bros. for Wii U,2014,Wii U,Bubblegum K.K.,Atsuko Asahi & Nintendo
Baritone,PRE5:012,Yamaha Motif Rack XS,2008,Super Smash Bros. for Wii U,2014,Wii U,Turbo Jet,Asuka Ito
Contemplative Synth 18,None,Apple Jam Pack,2004,Super Smash Bros. for Wii U,2014,Wii U,Chill (Dr. Mario) Ver. 2,Hirokazu Tanaka. ex
Remix Siren FX,None,Apple Jam Pack Remix Tools,2004,Super Smash Bros. for Wii U,2014,Wii U,Chill (Dr. Mario) Ver. 2,Hirokazu Tanaka. ex
Guitars - Steel String Acoustic,None,GarageBand,2004,Super Smash Bros. for Wii U,2014,Wii U,Tour (Animal Crossing: New Leaf),Hajime Wakai & Nintendo
EXS24 - Acoustic Pianos - Steinway Grand Piano 2,None,Logic Pro,2007,Super Smash Bros. for Wii U,2014,Wii U,Smiles and Tears,Toru Minegishi & Nintendo
EXS24 - Guitars - Acoustic Guitars - Bluegrass Banjo,None,Logic Pro,2007,Super Smash Bros. for Wii U,2014,Wii U,Full Steam Ahead (Spirit Tracks),"Michiko Naruke & Naru2 Co.,Ltd."
EXS24 - Orchestral - Brass - French Horn Solo,None,Logic Pro,2007,Super Smash Bros. for Wii U,2014,Wii U,Credits,Torine
EXS24 - Orchestral - Strings - Violins,None,Logic Pro,2007,Super Smash Bros. for Wii U,2014,Wii U,Credits,Torine
EXS24 - World - African - African Marimba,None,Logic Pro,2007,Super Smash Bros. for Wii U,2014,Wii U,Tour (Animal Crossing: New Leaf),Hajime Wakai & Nintendo
EXS24 - World - Caribbean - Caribbean Steel Drums,None,Logic Pro,2007,Super Smash Bros. for Wii U,2014,Wii U,Balloon Fight Medley,Yoshihito Yano & BANDAI NAMCO Studios Inc.
EXS24 - World - European - Celtic Tin Whistle,None,Logic Pro,2007,Super Smash Bros. for Wii U,2014,Wii U,Tour (Animal Crossing: New Leaf),Hajime Wakai & Nintendo
EXS24 - World - European - Medieval Recorder,None,Logic Pro,2007,Super Smash Bros. for Wii U,2014,Wii U,Full Steam Ahead (Spirit Tracks),"Michiko Naruke & Naru2 Co.,Ltd."
EXS24 - World - European - Polka Accordion,None,Logic Pro,2007,Super Smash Bros. for Wii U,2014,Wii U,Tour (Animal Crossing: New Leaf),Hajime Wakai & Nintendo
Emulator Standards - Tenor Sax - CrispSansVibrato,None,E-MU EIII Classic Library,1994,Super Smash Bros. for Wii U,2014,Wii U,Gear Getaway,Noriyuki Iwadare
Square Wave,81,Roland Sound Canvas,1991,Super Smash Bros. for Wii U,2014,Wii U,Butter Building Ver. 2,Tsukasa Masuko & M's Factory Inc.
Analog Brass 1,1-24,Roland Super JD JD-990,1993,Super Smash Bros. for Wii U,2014,Wii U,Airman Stage,Noriyuki Iwadare
You and Luck,PR-B:079,Roland JV-2080,1996,Super Smash Bros. for Wii U,2014,Wii U,Airman Stage,Noriyuki Iwadare
So true...,PR-A:001,Roland Fantom X7,2004,Super Smash Bros. for Wii U,2014,Wii U,Outdoors at 7 p.m. (Sunny) / Main Street - Animal Crossing: New Leaf,Manaka Kataoka
Steel Drums,PR-A:072,Roland Fantom X7,2004,Super Smash Bros. for Wii U,2014,Wii U,Outdoors at 7 p.m. (Sunny) / Main Street - Animal Crossing: New Leaf,Manaka Kataoka
Squeeze Me,PR-A:096,Roland Fantom X,2004,Super Smash Bros. for Wii U,2014,Wii U,Butter Building Ver. 2,Tsukasa Masuko & M's Factory Inc.
Core Library - RMX Grooves - 120-Kryptonite - 120-Kryptonite,None,Spectrasonics Stylus RMX,2004,Super Smash Bros. for Wii U,2014,Wii U,Super Mario Bros. Medley,Koji Kondo & Nintendo
Core Library - RMX Grooves - 145-Login - 145-Login  Combo 1,None,Spectrasonics Stylus RMX,2004,Super Smash Bros. for Wii U,2014,Wii U,Saria's Song / Middle Boss Battle,Michiru Yamane
Core Library - RMX Grooves - 160-Find The Exit - 160-Find The Exit Combo,None,Spectrasonics Stylus RMX,2004,Super Smash Bros. for Wii U,2014,Wii U,Escape,Akari Kaida
Core Library - Classic Stylus - Triangle - 87-Triangle 1,None,Spectrasonics Stylus RMX,2004,Super Smash Bros. for Wii U,2014,Wii U,Super Mario Bros. Medley,Koji Kondo & Nintendo
EXP Libraries - Liquid Grooves - 078-Afro Planet - 078-Afro Planet  Tribal mix,None,Spectrasonics Stylus RMX,2004,Super Smash Bros. for Wii U,2014,Wii U,Super Mario Bros. Medley,Koji Kondo & Nintendo
EXP Libraries - Bonus Spectrasonics - Tune In Page Grooves - 87-Tablaswing,None,Spectrasonics Stylus RMX,2004,Super Smash Bros. for Wii U,2014,Wii U,Super Mario Bros. Medley,Koji Kondo & Nintendo
Bells and Vibes - Celes Bells,None,Spectrasonics Omnisphere,2008,Super Smash Bros. for Wii U,2014,Wii U,Circuit (Mario Kart 7),Junichi Nakatsuru
Synth Mono - Amped Square Expresso,None,Spectrasonics Omnisphere,2008,Super Smash Bros. for Wii U,2014,Wii U,Bubblegum K.K.,Atsuko Asahi & Nintendo
Synth Mono - Analog FM ModWheeling Lead,None,Spectrasonics Omnisphere,2008,Super Smash Bros. for Wii U,2014,Wii U,Wii Sports Resort Ver. 2,Kazumi Totaka & Nintendo
Synth Mono - Juiced Up,None,Spectrasonics Omnisphere,2008,Super Smash Bros. for Wii U,2014,Wii U,Duck Hunt Medley,"Manabu Namiki & M2 Co., Ltd."
Bass Instruments - Clean Fender - Full Range,None,Spectrasonics Trilian,2009,Super Smash Bros. for Wii U,2014,Wii U,Wrecking Crew Medley,"Manabu Namiki & M2 Co., Ltd."
Bass Instruments - Trilian Ac 1 - Full Range All,None,Spectrasonics Trilian,2009,Super Smash Bros. for Wii U,2014,Wii U,Wrecking Crew Medley,"Manabu Namiki & M2 Co., Ltd."
N/A (Brass),N/A,N/A (NI or Chris Hein Product),N/A,Super Smash Bros. for Wii U,2014,Wii U,Jungle Level Jazz Style,Hiroyuki Kawada & BANDAI NAMCO Studios Inc.
KEY INSTRUMENTS - Dallape Accordion Key,None,Best Service Ethno World Instruments,2011,Super Smash Bros. for Wii U,2014,Wii U,Trophy Shop,Hiroyuki Kawada & BANDAI NAMCO Studios Inc.
CHH-Vol2 - N/A (Alto Saxophone),None,Chris Hein Horns Pro Complete,2012,Super Smash Bros. for Wii U,2014,Wii U,Ground Theme / Underground Theme (Super Mario Bros.),"Tetsuya Shibata & Unique Note Co., Ltd."
N/A (Brass),None,Chris Hein Horns Pro Complete,2012,Super Smash Bros. for Wii U,2014,Wii U,Mario Paint Medley,"Taku Inoue, BANDAI NAMCO Studios Inc., Nintendo"
1 Instruments - Wind - Didgeridoo,None,Best Service Forest Kingdom II,2013,Super Smash Bros. for Wii U,2014,Wii U,Jungle Level Tribal Style,Hiroyuki Kawada & BANDAI NAMCO Studios Inc.
2 Soundscapes - Discovery Exotic Flute 1,None,Best Service Forest Kingdom II,2013,Super Smash Bros. for Wii U,2014,Wii U,Jungle Level Tribal Style,Hiroyuki Kawada & BANDAI NAMCO Studios Inc.
Main Trumpet,None,Sample Modeling The Trumpet,2007,Super Smash Bros. for Wii U,2014,Wii U,(Too many to count),(Too many to count)
N/A,None,Sample Modeling The Sax Brothers,2009,Super Smash Bros. for Wii U,2014,Wii U,Smiles and Tears,Toru Minegishi
STRINGED INSTRUMENT - Guitarras - Backing - Loops - Gt Acompanamiento con final_03_02_130.0_A,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
STRINGED INSTRUMENT - Guitarras - Backing - Loops - Gt Acompanamiento con final_05_01_125.0_A,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
STRINGED INSTRUMENT - Guitarras - Backing - Loops - Gt Rasgueo Rumba con final_01_01_120.0_A,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
STRINGED INSTRUMENT - Guitarras - Mute - Loops - N/A,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
VOX - Male - Loops - Voces M Ay mire usted_124.7,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
VOX - Male - Loops - Voces M Chichi_109.3,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
VOX - Male - Loops - Voces M Lerelere_01_098.7_D,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
VOX - Male - Loops - Voces M Lerelere_01_102.0_F,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
VOX - Male - Loops - Voces M Lerelere_02_117.5_C,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
VOX - Male - Loops - Voces M Lerelere_05_097.1_D,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
VOX - Male - One Shot Samples - Voces M Ole_03,None,Discovery Sound Alma Flamenco,2004,Super Smash Bros. for Wii U,2014,Wii U,Fortress Boss (Super Mario World),ACE (TOMOri Kudo / CHICO)
"DOG, TERRIER - SINGLE BARK, ANIMAL, KENNEL",04-67-1,Sound Ideas Series 2000,1987,Super Smash Bros. for Wii U,2014,Wii U,Mario Paint Medley,"Taku Inoue, BANDAI NAMCO Studios Inc., Nintendo"
"WHISTLE, HUMAN - SINGLE NOTE",2-94-01,Sound Ideas Sampler Library,1987,Super Smash Bros. for Wii U,2014,Wii U,Onett Theme / Winters Theme,Asuka Hayazaki & Nintendo
N/A,None,MusicLab RealGuitar,2012,Super Smash Bros. for Wii U,2014,Wii U,Super Mario Bros. Medley,Koji Kondo & Nintendo
Americas - Wind - Pan Flute - Pan Flute KS C0-D#0,None,EastWest/Quantum Leap RA,2005,Captain Toad: Treasure Tracker,2014,Wii U,"Mine Cart, Mine Cart (Cave)",Mahito Yokota & Naoto Kubo
Synth Lead - DJ Handy,None,NI FM7,2001,Captain Toad: Treasure Tracker,2014,Wii U,The King of Pyropuff Peak,Naoto Kubo
Orchestral - 2 - VSL Woodwinds - Flute,None,Kontakt Factory Library,2007,Captain Toad: Treasure Tracker,2014,Wii U,Jungle,Mahito Yokota & Naoto Kubo
Synth Lead - Analogica,None,NI Massive,2007,Captain Toad: Treasure Tracker,2014,Wii U,The King of Pyropuff Peak,Mahito Yokota & Naoto Kubo
Synth Lead - Bursted Flute,None,NI Massive,2007,Captain Toad: Treasure Tracker,2014,Wii U,Plucky Pass Beginnings,Mahito Yokota & Naoto Kubo
Accordions AF1&2,PRE2:015,Yamaha Motif Rack XS,2008,Captain Toad: Treasure Tracker,2014,Wii U,Plucky Pass Beginnings,Mahito Yokota & Naoto Kubo
Mythic Flute,PRE8:055,Yamaha Motif Rack XS,2008,Captain Toad: Treasure Tracker,2014,Wii U,N/A,Naoto Kubo
Core Library - RMX Grooves - 73-Caravan,None,Spectrasonics Stylus RMX,2004,Captain Toad: Treasure Tracker,2014,Wii U,N/A,Mahito Yokota & Naoto Kubo
Human Voices - Choir Full Ahs  ^,None,Spectrasonics Omnisphere,2008,Captain Toad: Treasure Tracker,2014,Wii U,Jungle,Naoto Kubo
EXS24 - Guitars - Acoustic Guitars - Bluegrass Banjo,None,Logic Pro,2007,Mario Kart 8,2014,Wii U,Shy Guy Falls,Shiho Fujii
EXS24 - World - Caribbean - Caribbean Steel Drums,None,Logic Pro,2007,Mario Kart 8,2014,Wii U,"MK8 Water Park, Toad Harbour",Shiho Fujii
EXS24 - World - European - Medieval Recorder,None,Logic Pro,2007,Mario Kart 8,2014,Wii U,Shy Guy Falls,Shiho Fujii
EXS24 - World - European - Polka Accordion,None,Logic Pro,2007,Mario Kart 8,2014,Wii U,Sweet Sweet Canyon,Shiho Fujii
EXS24 - World - Middle Eastern - Turkish Oud,None,Logic Pro,2007,Mario Kart 8,2014,Wii U,Bone-Dry Dunes,Shiho Fujii
EXS24 - World - South American - Peruvian Panpipes,None,Logic Pro,2007,Mario Kart 8,2014,Wii U,Shy Guy Falls,Shiho Fujii
EXS24 - Acoustic Pianos - Steinway Grand Piano 2,None,Logic Pro,2007,Mario Kart 8,2014,Wii U,Mario Kart TV,Yasuaki Iwata
Steel-str. Gt.,26,Roland Sound Canvas SC-88,1994,Mario Kart 8,2014,Wii U,DS Cheep Cheep Beach,Yasuaki Iwata
POWER,17,Roland Sound Canvas SC-88,1994,Mario Kart 8,2014,Wii U,Rainbow Road,Shiho Fujii
Steel Drums,PR-A:072,Roland Fantom X,2004,Mario Kart 8,2014,Wii U,DS Cheep Cheep Beach,Yasuaki Iwata
Andes Mood,PR-C:004,Roland Fantom X7,2004,Mario Kart 8,2014,Wii U,N64 Rainbow Road,Ryo Nagamatsu
FS Sitar 2,PR-E:071,Roland Fantom X7,2004,Mario Kart 8,2014,Wii U,GCN Dry Dry Desert,Ryo Nagamatsu
Banjo,PR-E:091,Roland Fantom X7,2004,Mario Kart 8,2014,Wii U,N64 Yoshi Valley,Ryo Nagamatsu
CymGong - 20 Cymbal,None,EastWest Symphonic Orchestra,2003,Mario Kart 8,2014,Wii U,Course Intro Fanfare,Atsuko Asahi
Metals - Glock,None,EastWest Symphonic Orchestra,2003,Mario Kart 8,2014,Wii U,Congratulations!,Ryo Nagamatsu
Metals - Orch chimes,None,EastWest Symphonic Orchestra,2003,Mario Kart 8,2014,Wii U,Twisted Mansion,Shiho Fujii
Wood - Xylophone,None,EastWest Symphonic Orchestra,2003,Mario Kart 8,2014,Wii U,"Twisted Mansion, DS Tick Tock Clock",Shiho Fujii & Ryo Nagamatsu
Wood - Xylophone (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Mario Kart 8,2014,Wii U,MK8 Water Park,Shiho Fujii
Solo Violin - 5 Keysw - SVL KS Master (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Mario Kart 8,2014,Wii U,Wii Wario's Gold Mine,Kenta Nagata
Solo Flute - 5 Keysw - SFL KS Master (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Mario Kart 8,2014,Wii U,Current Standings,Ryo Nagamatsu
Solo Piccolo Flute - 5 Keysw - PFL KS Master (Microphones: Close),None,EastWest Symphonic Orchestra,2003,Mario Kart 8,2014,Wii U,"Mario Kart Stadium, Cloudtop Cruise",Atsuko Asahi
India - Plucked - Sitar - Sitar KS C0-G#0,None,EastWest/Quantum Leap RA,2005,Mario Kart 8,2014,Wii U,Wii Grumble Volcano,Asuka Hayazaki
Drums - MOR Octaplus Elements,None,EastWest Ministry of Rock 1,2007,Mario Kart 8,2014,Wii U,3DS Piranha Plant Slide,Ryo Nagamatsu
Guitars - Gibson J-160 Acoustic - Gibson J 160 Chords Master,None,EastWest Ministry of Rock 1,2007,Mario Kart 8,2014,Wii U,GCN Dry Dry Desert,Ryo Nagamatsu
Guitars - Les Paul Deluxe MAR BOG - LP Delx Lead Master,None,EastWest Ministry of Rock 1,2007,Mario Kart 8,2014,Wii U,"DS Wario Stadium, Current Standings, Congratulations!",Ryo Nagamatsu & Yasuaki Iwata
GM Bank - 033-40 BASS - 37-SLAP BASS 1,37,EastWest Goliath,2007,Mario Kart 8,2014,Wii U,F-ZERO Result,Atsuko Asahi
GM Bank - 073-80 PIPE - 79-Human Whistle,79,EastWest Goliath,2007,Mario Kart 8,2014,Wii U,Toad Harbour,Shiho Fujii
Excelsior Accordian - Excel Hi Musette Master,None,EastWest/Quantum Leap Gypsy,2008,Mario Kart 8,2014,Wii U,Bone Dry Dunes,Shiho Fujii
"China - Yangqin (String) - KS, DXF, Legato, and LIVE - Yangqin KS Master",None,EastWest/Quantum Leap Silk,2009,Mario Kart 8,2014,Wii U,Dragon Driftway,Atsuko Asahi
Bass - Synth Bass - DX Funk Bass,None,Steinberg HALion Sonic SE,2011,Mario Kart 8,2014,Wii U,"Result A, Result B",Atsuko Asahi
Keyboard - Harpsichord - [GM 007] Harpsichord,None,Steinberg HALion Sonic SE,2011,Mario Kart 8,2014,Wii U,Super Bell Subway,Atsuko Asahi
Piano - A. Piano - YAMAHA S90ES Piano,None,Steinberg HALion Sonic SE,2011,Mario Kart 8,2014,Wii U,"Result A, Result B",Atsuko Asahi
Strings - Section - [GM 049] String Ensemble 1,None,Steinberg HALion Sonic SE,2011,Mario Kart 8,2014,Wii U,Super Bell Subway,Atsuko Asahi
N/A (Drum Kit),N/A,N/A (Steinberg or Yamaha Product),N/A,Mario Kart 8,2014,Wii U,Select,Atsuko Asahi
Guitars - Jazz Guitar Fingers b,None,Spectrasonics Omnisphere,2008,Mario Kart 8,2014,Wii U,Sunshine Airport,Atsuko Asahi
Human Voices - Japanese Children's Choir,None,Spectrasonics Omnisphere,2008,Mario Kart 8,2014,Wii U,Wild Woods,Atsuko Asahi
Percussive Organic - Trinidad Steel Smack,None,Spectrasonics Omnisphere,2008,Mario Kart 8,2014,Wii U,Dolphin Shoals - In the Sea ~ Deep Sea,Atsuko Asahi
Synth Mono - Analog FM ModWheeling Lead,None,Spectrasonics Omnisphere,2008,Mario Kart 8,2014,Wii U,Electrodrome,Shiho Fujii
Synth Mono - Authentic 70's Solo Synth,None,Spectrasonics Omnisphere,2008,Mario Kart 8,2014,Wii U,Sunshine Airport,Atsuko Asahi
Synth Mono - Authentic Triangle Lead,None,Spectrasonics Omnisphere,2008,Mario Kart 8,2014,Wii U,Mario Kart 8,Atsuko Asahi
Synth Mono - Maverick Reso Sine,None,Spectrasonics Omnisphere,2008,Mario Kart 8,2014,Wii U,Rainbow Road,Shiho Fujii
Retro - Combo Organs - Hammond B-3 - Hammond Brite-1 Fast,None,Spectrasonics Omnisphere,2008,Mario Kart 8,2014,Wii U,Result A,Atsuko Asahi
N/A (Synth Lead),None,Spectrasonics Omnisphere,2008,Mario Kart 8,2014,Wii U,Super Bell Subway (Underground),Atsuko Asahi
N/A,None,Tapspace Virtual Drumline 2,2007,Mario Kart 8,2014,Wii U,GCN Dry Dry Desert,Ryo Nagamatsu
Main Trumpet,None,Sample Modeling The Trumpet,2007,Mario Kart 8,2014,Wii U,"Cloudtop Cruise, 3DS Piranha Plant Pipeway, Current Standing, Congratulations!",Atsuko Asahi & Ryo Nagamatsu
11 Ethnic - Banjo 1 or 2,None,MOTU MachFive 2,2007,Mario Kart 8,2014,Wii U,Wii Wario's Gold Mine,Kenta Nagata
World - 7 - Metallophones - Tuned Gongs,None,Kontakt Factory Library,2007,Mario Kart 8,2014,Wii U,Thwomp Ruins,Atsuko Asahi
World - 8 - Percussion - Congas,None,Kontakt Factory Library,2007,Mario Kart 8,2014,Wii U,"GCN Yoshi Circuit, Animal Crossing (Summer)",Atsuko Asahi
World - 8 - Percussion - Timbales,None,Kontakt Factory Library,2007,Mario Kart 8,2014,Wii U,Dolphin Shoals - Above Ground,Atsuko Asahi
"WHISTLE, HUMAN - SINGLE NOTE",2-94-01,Sound Ideas Sampler Library,1987,Mario Kart 8,2014,Wii U,"GCN Sherbet Land, GCN Yoshi Circuit",Yasuaki Iwata & Atsuko Asahi
Accordion - Harmonica - Clean Country Harmonica,None,Steinberg HALion Sonic,2010,Donkey Kong Country: Tropical Freeze,2014,Wii U,Windmill Hills,David Wise
