Sample Description,Sample #,Source,Path/Bank,Program,Notes,Demo
French Horn Ensemble,SWAV 11,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
French Horn Ensemble,SWAV 12,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Snare Crescendo,SWAV 13,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Snare Hit,SWAV 14,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
String Shorts,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Spiccato,Ensemble Spiccato,,
String Shorts,SWAV 16,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Spiccato,Ensemble Spiccato,,
String Shorts,SWAV 17,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Spiccato,Ensemble Spiccato,,
String Shorts,SWAV 18,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Spiccato,Ensemble Spiccato,,
String Shorts,SWAV 19,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Spiccato,Ensemble Spiccato,,
String Shorts,SWAV 20,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Spiccato,Ensemble Spiccato,,
String Ensemble,SWAV 21,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 22,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 23,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 24,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 25,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 26,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 27,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Timpani,SWAV 28,CHECK,,,,
Timpani Roll,SWAV 29,CHECK,,,,
String Trills,SWAV 30,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Trills,Ensemble Half Step Trills R,,
String Trills,SWAV 31,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Trills,Ensemble Half Step Trills R,,
Synth Vox,SWAV 32,UNKNOWN,,,,
54. Last Battle 1,,,,,,
Pipe Organ,SWAV 0,UNKNOWN,,,,
Pipe Organ,SWAV 1,UNKNOWN,,,,
Pipe Organ,SWAV 2,UNKNOWN,,,,
String Ensemble,SWAV 3,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 4,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 5,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 6,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 7,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 8,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 9,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 10,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
55. Last Battle 2,,,,,,
Pipe Organ,SWAV 0,UNKNOWN,,,,
Pipe Organ,SWAV 1,UNKNOWN,,,,
Pipe Organ,SWAV 2,UNKNOWN,,,,
String Ensemble,SWAV 3,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 4,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 5,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 6,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 7,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 8,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 9,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 10,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
56. Last Battle 3,,,,,,
Cymbal Crash,SWAV 0,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Cymbal Sustain,SWAV 1,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Flute,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Drum Loop,SWAV 6,CHECK,,,,
Drum Break,SWAV 7,CHECK,,,,
String Ensemble,SWAV 8,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 9,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 10,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 11,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 12,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Synth Bass(?),SWAV 13,UNKNOWN,,,,
Synth Bass(?),SWAV 14,UNKNOWN,,,,
Synth Bass(?),SWAV 15,UNKNOWN,,,,
Timpani,SWAV 16,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Timpani,SWAV 17,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
57. Ending Theme 1,,,,,,
Harp,SWAV 0,CHECK,,,,
Harp,SWAV 1,CHECK,,,,
Harp,SWAV 2,CHECK,,,,
Harp,SWAV 3,CHECK,,,,
Harp,SWAV 4,CHECK,,,,
Harp,SWAV 5,CHECK,,,,
Harp,SWAV 6,CHECK,,,,
Harp,SWAV 7,CHECK,,,,
Harp,SWAV 8,CHECK,,,,
Harp,SWAV 9,CHECK,,,,
Harp,SWAV 10,CHECK,,,,
Harp,SWAV 11,CHECK,,,,
Harp,SWAV 12,CHECK,,,,
Harp,SWAV 13,CHECK,,,,
Harp,SWAV 14,CHECK,,,,
Harp,SWAV 15,CHECK,,,,
Oboe,SWAV 16,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Oboe,SWAV 17,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Oboe,SWAV 18,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Oboe,SWAV 19,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Oboe,SWAV 20,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Oboe,SWAV 21,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Oboe,SWAV 22,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Oboe,SWAV 23,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Organ,SWAV 24,UNKNOWN,,,,
Organ,SWAV 25,UNKNOWN,,,,
Organ,SWAV 26,UNKNOWN,,,,
Organ,SWAV 27,UNKNOWN,,,,
58. Ending Theme 2,,,,,,
Cymbal Crash,SWAV 0,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Cymbal Sustain,SWAV 1,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Flute,SWAV 2,CHECK,,,,
Flute,SWAV 3,CHECK,,,,
Flute,SWAV 4,CHECK,,,,
Flute,SWAV 5,CHECK,,,,
Flute,SWAV 6,CHECK,,,,
Flute,SWAV 7,CHECK,,,,
Flute,SWAV 8,CHECK,,,,
Flute,SWAV 9,CHECK,,,,
French Horn Ensemble,SWAV 10,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
French Horn Ensemble,SWAV 11,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
French Horn Ensemble,SWAV 12,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
French Horn Ensemble,SWAV 13,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Oboe Staccato,SWAV 14,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Staccato,,
Oboe Staccato,SWAV 15,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Staccato,,
Oboe Staccato,SWAV 16,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Staccato,,
Oboe Staccato,SWAV 17,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Staccato,,
Oboe Staccato,SWAV 18,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Staccato,,
String Staccato,SWAV 19,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
String Staccato,SWAV 20,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
String Staccato,SWAV 21,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
String Staccato,SWAV 22,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
String Staccato,SWAV 23,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
String Staccato,SWAV 24,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
String Staccato,SWAV 25,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
String Ensemble,SWAV 26,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 27,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 28,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 29,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 30,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 31,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 32,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 33,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Tuba Staccato,SWAV 34,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba Staccato,SWAV 35,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba Staccato,SWAV 36,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
59. Ending Theme 3,,,,,,
Cymbal Crash,SWAV 0,,,,,
Cymbal Sustain,SWAV 1,,,,,
Flute,SWAV 2,,,,,
Flute,SWAV 3,,,,,
Flute,SWAV 4,,,,,
Flute,SWAV 5,,,,,
Flute,SWAV 6,,,,,
Flute,SWAV 7,,,,,
Flute,SWAV 8,,,,,
Flute,SWAV 9,,,,,
Oboe,SWAV 10,,,,,
Oboe,SWAV 11,,,,,
Oboe,SWAV 12,,,,,
Oboe,SWAV 13,,,,,
Oboe,SWAV 14,,,,,
Oboe,SWAV 15,,,,,
Oboe,SWAV 16,,,,,
Oboe,SWAV 17,,,,,
Snare Roll,SWAV 18,,,,,
Snare Hit,SWAV 19,,,,,
String Ensemble,SWAV 20,,,,,
String Ensemble,SWAV 21,,,,,
String Ensemble,SWAV 22,,,,,
String Ensemble,SWAV 23,,,,,
String Ensemble,SWAV 24,,,,,
String Ensemble,SWAV 25,,,,,
String Ensemble,SWAV 26,,,,,
String Ensemble,SWAV 27,,,,,
Timpani,SWAV 28,,,,,
Timpani,SWAV 29,,,,,
Timpani,SWAV 30,,,,,
Tuba,SWAV 31,,,,,
Tuba,SWAV 32,,,,,
Tuba,SWAV 33,,,,,
Tuba,SWAV 34,,,,,
Tuba,SWAV 35,,,,,
Section 2 - Pixel Remaster,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
Jesus Christ making that part of the sheet was brain melting,,,,,,
[Notice],,,,,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
