Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,,
Pizzicato String,Sample 11,UNKNOWN,,,,,,
Pizzicato String,Sample 12,UNKNOWN,,,,,,
Pizzicato String,Sample 13,UNKNOWN,,,,,,
Pizzicato String,Sample 14,UNKNOWN,,,,,,
Flute Staccato,Sample 15,UNKNOWN,,,,,,
Flute Staccato,Sample 16,UNKNOWN,,,,,,
Flute Staccato,Sample 17,UNKNOWN,,,,,,
Flute Staccato,Sample 18,UNKNOWN,,,,,,
Flute Staccato,Sample 19,UNKNOWN,,,,,,
Flute Staccato,Sample 20,UNKNOWN,,,,,,
Guiro,Sample 21,UNKNOWN,,,,,,
Guiro,Sample 22,UNKNOWN,,,,,,
Timpani,Sample 23,UNKNOWN,,,,,,
Timpani,Sample 24,UNKNOWN,,,,,,
Pizzicato String,Sample 25,UNKNOWN,,,,,,
Pizzicato String,Sample 26,UNKNOWN,,,,,,
Pizzicato String,Sample 27,UNKNOWN,,,,,,
Pizzicato String,Sample 28,UNKNOWN,,,,,,
Pizzicato String,Sample 29,UNKNOWN,,,,,,
Pizzicato String,Sample 30,UNKNOWN,,,,,,
Pizzicato String,Sample 31,UNKNOWN,,,,,,
Marimba,Sample 32,UNKNOWN,,,,,,
Marimba,Sample 33,UNKNOWN,,,,,,
Marimba,Sample 34,UNKNOWN,,,,,,
Marimba,Sample 35,UNKNOWN,,,,,,
Marimba,Sample 36,UNKNOWN,,,,,,
Snare,Sample 37,UNKNOWN,,,,,,
Snare,Sample 38,UNKNOWN,,,,,,
Snare,Sample 39,UNKNOWN,,,,,,
Snare,Sample 40,UNKNOWN,,,,,,
Woodblock,Sample 41,UNKNOWN,,,,,,
Woodblock,Sample 42,UNKNOWN,,,,,,
46. Hymn - Ixion,,,,,,,,
,Sample 0,,,,,,,
47. Ridess The Shoopuf?,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Marimba,Sample 0,UNKNOWN,,,,,,
Marimba,Sample 1,UNKNOWN,,,,,,
Marimba,Sample 2,UNKNOWN,,,,,,
Marimba,Sample 3,UNKNOWN,,,,,,
Marimba,Sample 4,UNKNOWN,,,,,,
Marimba,Sample 5,UNKNOWN,,,,,,
Marimba,Sample 6,UNKNOWN,,,,,,
Synth Pad,Sample 7,UNKNOWN,,,,,,
Synth Pad,Sample 8,UNKNOWN,,,,,,
Pizzicato String,Sample 9,UNKNOWN,,,,,,
Pizzicato String,Sample 10,UNKNOWN,,,,,,
Pizzicato String,Sample 11,UNKNOWN,,,,,,
Pizzicato String,Sample 12,UNKNOWN,,,,,,
Pizzicato String,Sample 13,UNKNOWN,,,,,,
Pizzicato String,Sample 14,UNKNOWN,,,,,,
Pizzicato String,Sample 15,UNKNOWN,,,,,,
Kick,Sample 16,UNKNOWN,,,,,,
Kick,Sample 17,UNKNOWN,,,,,,
Hi Hat,Sample 18,UNKNOWN,,,,,,
Hi Hat,Sample 19,UNKNOWN,,,,,,
Tambourine,Sample 20,UNKNOWN,,,,,,
48. Rikku's Theme,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Harmonica,Sample 0,UNKNOWN,,,,,,
Harmonica,Sample 1,UNKNOWN,,,,,,
Shaker,Sample 2,UNKNOWN,,,,,,
Shaker,Sample 3,UNKNOWN,,,,,,
Triangle,Sample 4,UNKNOWN,,,,,,
Triangle,Sample 5,UNKNOWN,,,,,,
Vibraphone,Sample 6,UNKNOWN,,,,,,
Vibraphone,Sample 7,UNKNOWN,,,,,,
Fingered Bass,Sample 8,UNKNOWN,,,,,,
Fingered Bass,Sample 9,UNKNOWN,,,,,,
Fingered Bass,Sample 10,UNKNOWN,,,,,,
Nylon Guitar,Sample 11,EastWest - Quantum Leap Guitar and Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 12,EastWest - Quantum Leap Guitar and Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 13,EastWest - Quantum Leap Guitar and Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 14,EastWest - Quantum Leap Guitar and Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 15,EastWest - Quantum Leap Guitar and Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 16,EastWest - Quantum Leap Guitar and Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Flute,Sample 17,UNKNOWN,,,,,,
Flute,Sample 18,UNKNOWN,,,,,,
Piano,Sample 19,UNKNOWN,,,,,,
Piano,Sample 20,UNKNOWN,,,,,,
Piano,Sample 21,UNKNOWN,,,,,,
Piano,Sample 22,UNKNOWN,,,,,,
Piano,Sample 23,UNKNOWN,,,,,,
Piano,Sample 24,UNKNOWN,,,,,,
Piano,Sample 25,UNKNOWN,,,,,,
Piano,Sample 26,UNKNOWN,,,,,,
Piano,Sample 27,UNKNOWN,,,,,,
49. Guadosalam,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Triangle,Sample 0,UNKNOWN,,,,,,
Choir,Sample 1,UNKNOWN,,,,,,
Choir,Sample 2,UNKNOWN,,,,,,
Choir,Sample 3,UNKNOWN,,,,,,
Flute,Sample 4,UNKNOWN,,,,,,
Flute,Sample 5,UNKNOWN,,,,,,
Flute,Sample 6,UNKNOWN,,,,,,
Flute,Sample 7,UNKNOWN,,,,,,
Bass Drum,Sample 8,UNKNOWN,,,,,,
Sansa(?),Sample 9,UNKNOWN,,,,,,
Sansa(?),Sample 10,UNKNOWN,,,,,,
Sansa(?),Sample 11,UNKNOWN,,,,,,
Sansa(?),Sample 12,UNKNOWN,,,,,,
Sansa(?),Sample 13,UNKNOWN,,,,,,
Sansa(?),Sample 14,UNKNOWN,,,,,,
Pizzicato String,Sample 15,UNKNOWN,,,,,,
Pizzicato String,Sample 16,UNKNOWN,,,,,,
Pizzicato String,Sample 17,UNKNOWN,,,,,,
Pizzicato String,Sample 18,UNKNOWN,,,,,,
Synth String,Sample 19,UNKNOWN,,,,,,
Synth String,Sample 20,UNKNOWN,,,,,,
Synth String,Sample 21,UNKNOWN,,,,,,
Synth String,Sample 22,UNKNOWN,,,,,,
Dulcimer,Sample 23,UNKNOWN,,,,,,
Dulcimer,Sample 24,UNKNOWN,,,,,,
Dulcimer,Sample 25,UNKNOWN,,,,,,
Dulcimer,Sample 26,UNKNOWN,,,,,,
50. Thunder Plains,,,,,,,,
Fretless Bass,Sample 0,UNKNOWN,,,,,,
Fretless Bass,Sample 1,UNKNOWN,,,,,,
Fretless Bass,Sample 2,UNKNOWN,,,,,,
Fretless Bass,Sample 3,UNKNOWN,,,,,,
Fretless Bass,Sample 4,UNKNOWN,,,,,,
Fretless Bass,Sample 5,UNKNOWN,,,,,,
Fretless Bass,Sample 6,UNKNOWN,,,,,,
Fretless Bass,Sample 7,UNKNOWN,,,,,,
Flute,Sample 8,UNKNOWN,,,,,,
Flute,Sample 9,UNKNOWN,,,,,,
Flute,Sample 10,UNKNOWN,,,,,,
Flute,Sample 11,UNKNOWN,,,,,,
Clock Ticks,Sample 12,UNKNOWN,,A similar tick is heard in FFVIII's Galbadian Garden,,,,
Clock Ticks,Sample 13,UNKNOWN,,A similar tick is heard in FFVIII's Galbadian Garden,,,,
Clock Ticks,Sample 14,UNKNOWN,,,,,,
Clock Ticks,Sample 15,UNKNOWN,,,,,,
Clock Ticks,Sample 16,UNKNOWN,,,,,,
Clock Ticks,Sample 17,UNKNOWN,,,,,,
Clock Ticks,Sample 18,UNKNOWN,,,,,,
Kalimba Pad,Sample 19,UNKNOWN,,,,,,
Kalimba Pad,Sample 20,UNKNOWN,,,,,,
Kalimba Pad,Sample 21,UNKNOWN,,,,,,
Kalimba Pad,Sample 22,UNKNOWN,,,,,,
Kalimba Pad,Sample 23,UNKNOWN,,,,,,
Kalimba Pad,Sample 24,UNKNOWN,,,,,,
Kalimba Pad,Sample 25,UNKNOWN,,,,,,
Kalimba Pad,Sample 26,UNKNOWN,,,,,,
Piano,Sample 27,UNKNOWN,,,,,,
Piano,Sample 28,UNKNOWN,,,,,,
Piano,Sample 29,UNKNOWN,,,,,,
Piano,Sample 30,UNKNOWN,,,,,,
Piano,Sample 31,UNKNOWN,,,,,,
Piano,Sample 32,UNKNOWN,,,,,,
Piano,Sample 33,UNKNOWN,,,,,,
Piano,Sample 34,UNKNOWN,,,,,,
Piano,Sample 35,UNKNOWN,,,,,,
Piano,Sample 36,UNKNOWN,,,,,,
Piano,Sample 37,UNKNOWN,,,,,,
Piano,Sample 38,UNKNOWN,,,,,,
Piano,Sample 39,UNKNOWN,,,,,,
Piano,Sample 40,UNKNOWN,,,,,,
Piano,Sample 41,UNKNOWN,,,,,,
Piano,Sample 42,UNKNOWN,,,,,,
String Ensemble,Sample 43,UNKNOWN,,,,,,
String Ensemble,Sample 44,UNKNOWN,,,,,,
String Ensemble,Sample 45,UNKNOWN,,,,,,
String Ensemble,Sample 46,UNKNOWN,,,,,,
String Ensemble,Sample 47,UNKNOWN,,,,,,
51. Jecht's Theme,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Acoustic Guitar,Sample 0,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar,Sample 1,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar,Sample 2,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar,Sample 3,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar,Sample 4,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar,Sample 5,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar,Sample 6,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar,Sample 7,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar,Sample 8,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Harmonics,Sample 9,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Harmonics,Sample 10,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Interval,Sample 11,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Interval,Sample 12,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Interval,Sample 13,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Interval,Sample 14,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Interval,Sample 15,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Interval,Sample 16,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Interval,Sample 17,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Interval,Sample 18,Live Recording (Tsuyoshi Sekito),,,,,,
Acoustic Guitar Interval,Sample 19,Live Recording (Tsuyoshi Sekito),,,,,,
52. Macalania Woods,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Marcato String,Sample 0,UNKNOWN,,,,,,
Marcato String,Sample 1,UNKNOWN,,,,,,
Marcato String,Sample 2,UNKNOWN,,,,,,
Marcato String,Sample 3,UNKNOWN,,,,,,
Marcato String,Sample 4,UNKNOWN,,,,,,
Marcato String,Sample 5,UNKNOWN,,,,,,
String Ensemble,Sample 6,UNKNOWN,,,,,,
French Horn,Sample 7,UNKNOWN,,,,,,
French Horn,Sample 8,UNKNOWN,,,,,,
String Ensemble,Sample 9,UNKNOWN,,,,,,
String Ensemble,Sample 10,UNKNOWN,,,,,,
String Ensemble,Sample 11,UNKNOWN,,,,,,
Piano,Sample 12,UNKNOWN,,,,,,
Piano,Sample 13,UNKNOWN,,,,,,
Piano,Sample 14,UNKNOWN,,,,,,
Piano,Sample 15,UNKNOWN,,,,,,
Piano,Sample 16,UNKNOWN,,,,,,
Piano,Sample 17,UNKNOWN,,,,,,
Piano,Sample 18,UNKNOWN,,,,,,
Piano,Sample 19,UNKNOWN,,,,,,
Piano,Sample 20,UNKNOWN,,,,,,
Piano,Sample 21,UNKNOWN,,,,,,
Piano,Sample 22,UNKNOWN,,,,,,
Piano,Sample 23,UNKNOWN,,,,,,
Electric Piano,Sample 24,UNKNOWN,,,,,,
Electric Piano,Sample 25,UNKNOWN,,,,,,
Electric Piano,Sample 26,UNKNOWN,,,,,,
Trill Strings,Sample 27,UNKNOWN,,,,,,
Tremolo Strings,Sample 28,UNKNOWN,,,,,,
Slow String Ensemble,Sample 29,UNKNOWN,,,,,,
Slow String Ensemble,Sample 30,UNKNOWN,,,,,,
Slow String Ensemble,Sample 31,UNKNOWN,,,,,,
53. The Void,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Anvil,Sample 0,UNKNOWN,,,,,,
Anvil,Sample 1,UNKNOWN,,,,,,
Anvil,Sample 2,UNKNOWN,,,,,,
Anvil,Sample 3,UNKNOWN,,,,,,
Finger Cymbal,Sample 4,Roland - SOUND Canvas SC-88Pro,SC-88Pro Map -> Drum Set,053 ASIA,,,,
Finger Cymbal,Sample 5,Roland - SOUND Canvas SC-88Pro,SC-88Pro Map -> Drum Set,053 ASIA,,,,
Udu Pot,Sample 6,UNKNOWN,,,,,,
Udu Pot,Sample 7,UNKNOWN,,,,,,
Conga(?),Sample 8,UNKNOWN,,,,,,
Wind SFX,Sample 9,UNKNOWN,,,,,,
Wind SFX,Sample 10,UNKNOWN,,,,,,
Wind SFX,Sample 11,UNKNOWN,,,,,,
54. The Temple Players,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
String Ensemble,Sample 0,UNKNOWN,,,,,,
String Ensemble,Sample 1,UNKNOWN,,,,,,
Udu Pot,Sample 2,UNKNOWN,,,,,,
Tambourine,Sample 3,UNKNOWN,,,,,,
Tambourine,Sample 4,UNKNOWN,,,,,,
Conga(?),Sample 5,UNKNOWN,,,,,,
Conga(?),Sample 6,UNKNOWN,,,,,,
55. Seymour's Ambitions,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Slap Bass,Sample 0,UNKNOWN,,,,,,
Slap Bass,Sample 1,UNKNOWN,,,,,,
Choir,Sample 2,UNKNOWN,,,,,,
Electric Guitar,Sample 3,UNKNOWN,,,,,,
Electric Guitar,Sample 4,UNKNOWN,,,,,,
Electric Guitar,Sample 5,UNKNOWN,,,,,,
Electric Guitar,Sample 6,UNKNOWN,,,,,,
Tom,Sample 7,UNKNOWN,,,,,,
Snare,Sample 8,UNKNOWN,,,,,,
Hi Hat,Sample 9,UNKNOWN,,,,,,
Hi Hat,Sample 10,UNKNOWN,,,,,,
Synth Pad,Sample 11,UNKNOWN,,,,,,
Synth Pad,Sample 12,UNKNOWN,,,,,,
Synth Pad,Sample 13,UNKNOWN,,,,,,
Piano,Sample 14,UNKNOWN,,,,,,
Piano,Sample 15,UNKNOWN,,,,,,
Piano,Sample 16,UNKNOWN,,,,,,
Piano,Sample 17,UNKNOWN,,,,,,
Piano,Sample 18,UNKNOWN,,,,,,
Piano,Sample 19,UNKNOWN,,,,,,
Piano,Sample 20,UNKNOWN,,,,,,
Piano,Sample 21,UNKNOWN,,,,,,
Piano,Sample 22,UNKNOWN,,,,,,
Synth Bass,Sample 23,UNKNOWN,,,,,,
Synth Bass,Sample 24,UNKNOWN,,,,,,
Reverse Cymbal,Sample 25,UNKNOWN,,,,,,
Santur(?),Sample 26,UNKNOWN,,,,,,
String Ensemble,Sample 27,UNKNOWN,,,,,,
String Ensemble,Sample 28,UNKNOWN,,,,,,
String Ensemble,Sample 29,UNKNOWN,,,,,,
56. Hymn - Shiva,,,,,,,,
,Sample 0,,,,,,,
57. Pursuit,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Dulcimer,Sample 0,UNKNOWN,,,,,,
Dulcimer,Sample 1,UNKNOWN,,,,,,
Synth Snare,Sample 2,UNKNOWN,,,,,,
Synth Snare,Sample 3,UNKNOWN,,,,,,
Synth Snare,Sample 4,UNKNOWN,,,,,,
Synth Hi Hat,Sample 5,UNKNOWN,,,,,,
Tambourine,Sample 6,UNKNOWN,,,,,,
Synth Cymbal Crash,Sample 7,UNKNOWN,,,,,,
Tambourine,Sample 8,UNKNOWN,,,,,,
Metallic Hit,Sample 9,UNKNOWN,,,,,,
Metallic Hit,Sample 10,UNKNOWN,,,,,,
Metallic Hit,Sample 11,UNKNOWN,,,,,,
Metallic Hit,Sample 12,UNKNOWN,,,,,,
Timpani,Sample 13,UNKNOWN,,,,,,
Timpani,Sample 14,UNKNOWN,,,,,,
String Ensemble,Sample 15,UNKNOWN,,,,,,
String Ensemble,Sample 16,UNKNOWN,,,,,,
String Ensemble,Sample 17,UNKNOWN,,,,,,
Low String Ensemble,Sample 18,UNKNOWN,,,,,,
58. The Burning Sands,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Synth Voice,Sample 0,UNKNOWN,,,,,,
Gamelan,Sample 1,UNKNOWN,,,,,,
Gamelan,Sample 2,UNKNOWN,,,,,,
Gamelan,Sample 3,UNKNOWN,,,,,,
Synth Pad,Sample 4,UNKNOWN,,,,,,
Synth Pad,Sample 5,UNKNOWN,,,,,,
Synth Pad,Sample 6,UNKNOWN,,,,,,
Djembe,Sample 7,UNKNOWN,,,,,,
Djembe,Sample 8,UNKNOWN,,,,,,
Djembe,Sample 9,UNKNOWN,,,,,,
Djembe,Sample 10,UNKNOWN,,,,,,
Djembe(?),Sample 11,UNKNOWN,,,,,,
Mellotron Strings,Sample 12,UNKNOWN,,,,,,
Mandolin,Sample 13,UNKNOWN,,,,,,
Mandolin,Sample 14,UNKNOWN,,,,,,
Mandolin,Sample 15,UNKNOWN,,,,,,
Mandolin,Sample 16,UNKNOWN,,,,,,
Mandolin,Sample 17,UNKNOWN,,,,,,
Mandolin,Sample 18,UNKNOWN,,,,,,
Mandolin,Sample 19,UNKNOWN,,,,,,
Mandolin,Sample 20,UNKNOWN,,,,,,
Synth Pad,Sample 21,UNKNOWN,,,,,,
Analog Chime,Sample 22,UNKNOWN,,,,,,
Analog Chime,Sample 23,UNKNOWN,,,,,,
Picked Bass,Sample 24,UNKNOWN,,,,,,
Picked Bass,Sample 25,UNKNOWN,,,,,,
Piano,Sample 26,UNKNOWN,,,,,,
Piano,Sample 27,UNKNOWN,,,,,,
Piano,Sample 28,UNKNOWN,,,,,,
Piano,Sample 29,UNKNOWN,,,,,,
Piano,Sample 30,UNKNOWN,,,,,,
Piano,Sample 31,UNKNOWN,,,,,,
Reverse Synth Pad,Sample 32,UNKNOWN,,,,,,
59. Peril,,,,,,,,
Cello Trill,Sample 0,Best Service - Advanced Orchestra,CD 4 -> Partition G -> 31 BA FX 04,BA FX 04,,,,
Flute SFX,Sample 1,Best Service - Advanced Orchestra,CD 4 -> Partition G -> 23 FL FX 09,FL FX 09A,,,,
Tabla,Sample 2,UNKNOWN,,,,,,
Tabla,Sample 3,UNKNOWN,,,,,,
Hit SFX,Sample 4,EastWest - Percussive Adventures,Disc 1 -> Independence Day ,04-DA-130,DAHAC6 -LR (E3),,,
String Suspense SFX,Sample 5,Best Service - Advanced Orchestra,CD 4 -> Partition G -> 29 ST FX 01-4,ST FX 01,,,,
String(?) SFX,Sample 6,UNKNOWN,,,,,,
Trombone Stacc,Sample 7,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trombone Stacc,Sample 8,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trombone Stacc,Sample 9,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trombone Stacc,Sample 10,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1 ,,,,
Trombone Stacc,Sample 11,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1 ,,,,
Trombone Stacc,Sample 12,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trombone Stacc,Sample 13,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trombone Stacc,Sample 14,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1 ,,,,
Trombone Stacc,Sample 15,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trombone Stacc,Sample 16,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trombone Glissando,Sample 17,Best Service - Advanced Orchestra,,,,,,
Trombone Glissando,Sample 18,Best Service - Advanced Orchestra,,,,,,
Trombone Glissando,Sample 19,Best Service - Advanced Orchestra,,,,,,
Trombone Glissando,Sample 20,Best Service - Advanced Orchestra,,,,,,
Trombone Glissando,Sample 21,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 22,Best Service - Advanced Orchestra,CD 4 -> Partition G -> 18 VA FX 01,VA FX 01E,,,,
Piano,Sample 23,UNKNOWN,,,,,,
Piano,Sample 24,UNKNOWN,,,,,,
Piano,Sample 25,UNKNOWN,,,,,,
Piano,Sample 26,UNKNOWN,,,,,,
Hit SFX,Sample 27,UNKNOWN,,,,,,
String Ensemble,Sample 28,UNKNOWN,,,,,,
String Ensemble,Sample 29,UNKNOWN,,,,,,
String Ensemble,Sample 30,UNKNOWN,,,,,,
String Ensemble,Sample 31,UNKNOWN,,,,,,
String Ensemble,Sample 32,UNKNOWN,,,,,,
String Ensemble,Sample 33,UNKNOWN,,,,,,
Cymbal,Sample 34,Best Service - Advanced Orchestra,CD 5 -> Partition A -> 01 CSY HITS,CSY MDFF,,,,
Cymbal,Sample 35,Best Service - Advanced Orchestra,CD 5 -> Partition A -> 01 CSY HITS,CSY MDFF,,,,
60. The Truth Revealed,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Triangle,Sample 0,UNKNOWN,,,,,,
Triangle,Sample 1,UNKNOWN,,,,,,
String Ensemble,Sample 2,UNKNOWN,,,,,,
String Ensemble,Sample 3,UNKNOWN,,,,,,
String Ensemble,Sample 4,UNKNOWN,,,,,,
String Ensemble,Sample 5,UNKNOWN,,,,,,
String Ensemble,Sample 6,UNKNOWN,,,,,,
String Ensemble,Sample 7,UNKNOWN,,,,,,
String Ensemble,Sample 8,UNKNOWN,,,,,,
String Ensemble,Sample 9,UNKNOWN,,,,,,
String Ensemble,Sample 10,UNKNOWN,,,,,,
String Ensemble,Sample 11,UNKNOWN,,,,,,
String Ensemble,Sample 12,UNKNOWN,,,,,,
String Ensemble,Sample 13,UNKNOWN,,,,,,
String Ensemble,Sample 14,UNKNOWN,,,,,,
String Ensemble,Sample 15,UNKNOWN,,,,,,
String Ensemble,Sample 16,UNKNOWN,,,,,,
String Ensemble,Sample 17,UNKNOWN,,,,,,
String Ensemble,Sample 18,UNKNOWN,,,,,,
String Ensemble,Sample 19,UNKNOWN,,,,,,
String Ensemble,Sample 20,UNKNOWN,,,,,,
String Ensemble,Sample 21,UNKNOWN,,,,,,
(Variation only),,,,,,,,
String Ensemble,Sample 0,UNKNOWN,,,,,,
String Ensemble,Sample 1,UNKNOWN,,,,,,
String Ensemble,Sample 2,UNKNOWN,,,,,,
Triangle,Sample 3,UNKNOWN,,,,,,
Triangle,Sample 4,UNKNOWN,,,,,,
String Ensemble,Sample 5,UNKNOWN,,,,,,
String Ensemble,Sample 6,UNKNOWN,,,,,,
String Ensemble,Sample 7,UNKNOWN,,,,,,
String Ensemble,Sample 8,UNKNOWN,,,,,,
String Ensemble,Sample 9,UNKNOWN,,,,,,
String Ensemble,Sample 10,UNKNOWN,,,,,,
String Ensemble,Sample 11,UNKNOWN,,,,,,
String Ensemble,Sample 12,UNKNOWN,,,,,,
String Ensemble,Sample 13,UNKNOWN,,,,,,
String Ensemble,Sample 14,UNKNOWN,,,,,,
String Ensemble,Sample 15,UNKNOWN,,,,,,
61. Launch,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Piano,Sample 0,UNKNOWN,,,,,,
Slow String Ensemble,Sample 1,UNKNOWN,,,,,,
Slow String Ensemble,Sample 2,UNKNOWN,,,,,,
Slow String Ensemble,Sample 3,UNKNOWN,,,,,,
Slow String Ensemble,Sample 4,UNKNOWN,,,,,,
Slow String Ensemble,Sample 5,UNKNOWN,,,,,,
Slow String Ensemble,Sample 6,UNKNOWN,,,,,,
Slow String Ensemble,Sample 7,UNKNOWN,,,,,,
Slow String Ensemble,Sample 8,UNKNOWN,,,,,,
Slow String Ensemble,Sample 9,UNKNOWN,,,,,,
Slow String Ensemble,Sample 10,UNKNOWN,,,,,,
Slow String Ensemble,Sample 11,UNKNOWN,,,,,,
Timpani,Sample 12,UNKNOWN,,,,,,
Timpani,Sample 13,UNKNOWN,,,,,,
Timpani Roll,Sample 14,UNKNOWN,,,,,,
Cymbal Suspension,Sample 15,Best Service - Advanced Orchestra,CD 5 -> Partition A -> 01 CSY HITS,CHECK,,,,
Cymbal Crash,Sample 16,Best Service - Advanced Orchestra,CD 5 -> Partition A -> 01 CSY HITS,CHECK,,,,
Trombone,Sample 17,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone,Sample 18,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Spiccato Strings,Sample 19,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
Spiccato Strings,Sample 20,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
Spiccato Strings,Sample 21,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
Spiccato Strings,Sample 22,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
Spiccato Strings,Sample 23,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
Spiccato Strings,Sample 24,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
Slow String Ensemble,Sample 25,UNKNOWN,,,,,,
Slow String Ensemble,Sample 26,UNKNOWN,,,,,,
Slow String Ensemble,Sample 27,UNKNOWN,,,,,,
Slow String Ensemble,Sample 28,UNKNOWN,,,,,,
Bongo,Sample 29,UNKNOWN,,,,,,
Bongo,Sample 30,UNKNOWN,,,,,,
62. The Wedding,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Slow String Ensemble,Sample 0,UNKNOWN,,,,,,
Slow String Ensemble,Sample 1,UNKNOWN,,,,,,
Slow String Ensemble,Sample 2,UNKNOWN,,,,,,
Slow String Ensemble,Sample 3,UNKNOWN,,,,,,
Slow String Ensemble,Sample 4,UNKNOWN,,,,,,
Slow String Ensemble,Sample 5,UNKNOWN,,,,,,
Slow String Ensemble,Sample 6,UNKNOWN,,,,,,
Slow String Ensemble,Sample 7,UNKNOWN,,,,,,
Slow String Ensemble,Sample 8,UNKNOWN,,,,,,
Timpani,Sample 9,UNKNOWN,,,,,,
Timpani,Sample 10,UNKNOWN,,,,,,
French Horn,Sample 11,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
French Horn,Sample 12,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
French Horn,Sample 13,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
French Horn,Sample 14,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
